,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases
0,USA,"82,316,348",,"1,015,451",,"80,202,314",
1,India,"43,044,280",,"521,965",,"42,510,773",
2,Brazil,"30,252,618",,"662,011",,"29,227,051",
3,France,"27,771,024",,"144,157",,"24,914,871",
4,Germany,"23,454,640","+16,347","133,435",+6,"20,085,800","+205,500"
5,UK,"21,747,638",,"171,396",,"20,306,336","+109,212"
6,Russia,"18,084,151","+9,434","373,713",+213,"17,390,465","+14,324"
7,S. Korea,"16,353,495","+47,743","21,224",+132,N/A,N/A
8,Italy,"15,712,088",,"161,687",,"14,324,363",
9,Turkey,"14,994,937",,"98,568",,"14,748,252",
10,Spain,"11,662,214",,"103,266",,"11,120,708",
11,Vietnam,"10,432,547",,"42,944",,"8,936,846",
12,Argentina,"9,060,923",,"128,344",,"8,895,999",
13,Netherlands,"8,015,576",,"22,156",,"7,412,962","+54,216"
14,Japan,"7,374,251","+39,899","29,023",+31,"6,829,906","+44,328"
15,Iran,"7,208,968","+2,009","140,854",+25,"6,948,946","+3,102"
16,Colombia,"6,089,662",,"139,749",,"5,923,067",
17,Indonesia,"6,040,432",+559,"155,903",+37,"5,833,560","+7,831"
18,Poland,"5,985,517",+266,"115,838",,"5,334,115",+24
19,Mexico,"5,727,668","+1,000","323,944",+6,"5,028,436",+683
20,Australia,"5,419,380","+34,270","6,787",+10,"4,969,108",
21,Ukraine,"4,990,465",,"108,220",,N/A,N/A
22,Malaysia,"4,389,025",,"35,421",,"4,249,704",
23,Austria,"4,059,444","+6,227","16,431",+11,"3,918,429","+14,139"
24,Thailand,"4,046,953","+16,994","27,009",+124,"3,814,433","+25,910"
25,Israel,"4,031,761",,"10,630",,"3,941,841",
26,Belgium,"3,972,963",,"31,165",,"3,664,894","+12,275"
27,Czechia,"3,882,395",+749,"39,990",+5,"3,817,965","+4,510"
28,South Africa,"3,741,230",,"100,147",,"3,627,594",
29,Portugal,"3,719,485",,"21,993",,N/A,N/A
30,Philippines,"3,683,211",+170,"59,976",+7,"3,603,312","+1,277"
31,Canada,"3,632,318",,"38,311",,"3,373,544",
32,Peru,"3,555,739",,"212,630",,N/A,N/A
33,Switzerland,"3,551,790",,"13,793",,"3,253,709","+26,917"
34,Chile,"3,530,258",,"57,263",,"3,312,061",
35,Greece,"3,238,169",,"28,588",,"3,086,054",
36,Denmark,"2,949,407",,"5,997",,"2,913,431",
37,Romania,"2,882,590",+686,"65,340",+3,"2,606,660",
38,Sweden,"2,495,996",,"18,572",,"2,458,422","+1,329"
39,Iraq,"2,323,284",+152,"25,198",,"2,293,427",+624
40,Serbia,"1,996,868",+882,"15,933",+6,"1,960,640","+1,911"
41,Bangladesh,"1,952,362",+36,"29,126",+2,"1,891,197",+355
42,Hungary,"1,879,480",,"45,865",,"1,748,707",
43,Slovakia,"1,765,258","+1,263","19,759",+18,"1,707,211","+1,445"
44,Jordan,"1,694,216",,"14,048",,"1,678,941",
45,Georgia,"1,653,118",+74,"16,793",+1,"1,634,313",+357
46,Pakistan,"1,527,326",+78,"30,364",+1,"1,493,662",+56
47,Ireland,"1,498,834",,"6,932",,"1,374,154","+4,787"
48,Norway,"1,419,729",,"2,783",,N/A,N/A
49,Kazakhstan,"1,305,396",+9,"13,660",,"1,290,880",+72
50,Hong Kong,"1,198,438",+613,"9,159",+20,N/A,N/A
51,Morocco,"1,164,381",,"16,063",,"1,147,674",
52,Singapore,"1,160,300",,"1,316",,"1,093,904",
53,Bulgaria,"1,149,447",,"36,784",,"949,203",
54,Croatia,"1,113,547",+30,"15,742",+7,"1,093,859",+822
55,Cuba,"1,100,073",+337,"8,521",+1,"1,089,838",+433
56,Lebanon,"1,095,613",,"10,360",,"1,076,531",
57,Lithuania,"1,049,797",+414,"9,023",+3,"1,007,222","+1,387"
58,Tunisia,"1,038,668",,"28,509",,N/A,N/A
59,Slovenia,"997,766",+368,"6,560",+3,"968,880",+806
60,Nepal,"978,674",+9,"11,951",,"966,373",+34
61,Belarus,"974,478",,"6,901",,"928,536",
62,Finland,"949,583",,"3,517",,"46,000",
63,Bolivia,"903,908",+20,"21,903",,"852,606",+390
64,Uruguay,"895,775",,"7,197",,"886,654",
65,UAE,"895,663",+198,"2,302",,"877,648",+370
66,Ecuador,"865,585",,"35,513",,N/A,N/A
67,Costa Rica,"844,892",,"8,357",,"825,599",
68,Guatemala,"837,558",,"17,430",,"817,133",
69,New Zealand,"831,149","+6,282",564,+10,"774,408","+7,627"
70,Latvia,"813,243",+67,"5,715",,"796,906",
71,Azerbaijan,"792,365",+3,"9,706",,"782,533",+17
72,Panama,"768,794",,"8,179",,"758,220",
73,Saudi Arabia,"752,705",+133,"9,069",,"739,296",+259
74,Sri Lanka,"662,912",+85,"16,496",+1,"642,556",+3
75,Paraguay,"648,446",,"18,734",,"624,673",
76,Kuwait,"630,888",,"2,555",,"627,278",
77,Myanmar,"612,565",,"19,434",,"591,347",
78,Palestine,"581,678",,"5,352",,"575,613",
79,Dominican Republic,"578,733",,"4,375",,"574,240",
80,Estonia,"567,644",+181,"2,522",+6,"502,253",+324
81,Bahrain,"563,183",,"1,474",,"557,956",
82,Venezuela,"522,042",,"5,701",,"514,772",
83,Moldova,"516,431",,"11,481",,"503,291",
84,Egypt,"511,977",,"24,522",,"442,182",
85,Libya,"501,862",,"6,429",,"490,900",
86,Ethiopia,"470,273",,"7,509",,"453,636",
87,Mongolia,"469,365",+12,"2,177",,"313,256",
88,Cyprus,"464,366",,993,,"124,370",
89,Armenia,"422,770",+8,"8,622",+1,"410,458",+10
90,Honduras,"421,268",,"10,888",,"131,100",
91,Oman,"388,891",+26,"4,257",,"383,975",+30
92,Bosnia and Herzegovina,"376,437",,"15,749",,"192,218",
93,Qatar,"363,654",+111,677,,"361,951",+106
94,Réunion,"360,445",,731,,"342,442",
95,Kenya,"323,614",,"5,649",,"317,811",
96,Zambia,"318,515",,"3,973",,"313,692",
97,North Macedonia,"308,605",,"9,261",,"298,306",
98,Botswana,"305,859",,"2,688",,"303,026",
99,Albania,"274,504",,"3,496",,"270,626",
